2016-10-03 17:10:05|insertó  5100 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:10:11|insertó  5200 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:10:17|insertó  5300 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:10:22|insertó  5400 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:10:28|insertó  5500 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:10:45|insertó  5600 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:10:53|insertó  5700 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:11:02|insertó  5800 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:11:12|insertó  5900 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:11:20|insertó  6000 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:11:33|insertó  6100 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:11:40|insertó  6200 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:12:01|insertó  6300 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:12:05|insertó  6400 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:12:10|insertó  6500 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:12:26|insertó  6600 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:12:37|insertó  6700 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:13:15|insertó  7000 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:13:32|insertó  7300 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:13:45|insertó  7600 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:13:59|insertó  7900 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:14:10|insertó  8200 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:14:18|insertó  8500 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:14:27|insertó  8800 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:14:48|insertó  9100 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:14:57|insertó  9400 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:15:05|insertó  9700 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:15:24|insertó  10000 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
